France;189906;29512;70223;2020-06-17T00:00:00Z
China;68135;4512;63623;2020-06-17T00:00:00Z
Germany;188604;8851;173599;2020-06-17T00:00:00Z
Austria;17203;687;16099;2020-06-17T00:00:00Z
Belgium;60244;9675;16684;2020-06-17T00:00:00Z
Switzerland;31187;1956;28900;2020-06-17T00:00:00Z
United Kingdom;299251;42153;0;2020-06-17T00:00:00Z
Poland;30701;1286;14921;2020-06-17T00:00:00Z
Portugal;37672;1523;23580;2020-06-17T00:00:00Z
Spain;244683;27136;150376;2020-06-17T00:00:00Z
Ireland;25341;1710;22698;2020-06-17T00:00:00Z
Turkey;182727;4861;154640;2020-06-17T00:00:00Z
